herosID,heroName,roleID,abilitiesID,hp,def,atk
MM001,Miya,Marksman,MM001,2550,18,142
FR001,Aldous,Fighter,FR001,2700,20,108
Sup001,Angela,Support,Sup001,2500,10,108
Ass001,Gusion,Assasin,Ass001,2580,10,179
FR002,Leomord,Fighter,FR002,2900,20,160
Ass002,Lancelot,Assasin,Ass002,2675,15,179
FR003,Minsitthar,Fighter,FR003,2700,25,170
TK001,Tigreal,Tank,TK001,3000,30,135
FR004,Zilong,Fighter,FR004,2680,18,170
FR005,Chou,Fighter,FR005,2670,19,157
FR006,Ruby,Fighter,FR006,2620,20,160
FR007,Sun,Fighter,FR007,2700,22,158
FR008,Freya,Fighter,FR008,2750,22,170
ME001,Kagura,Mage,ME001,2550,15,134
ME002,Lylia,Mage,ME002,2500,10,120
ME003,Nana,Mage,ME003,2600,10,120
FR009,X.Borg,Fighter,FR009,2800,25,168
TK002,Grock,Tank,TK002,3150,35,155
FR010,Bane,Fighter,FR010,2750,20,160
TK003,Atlas,Tank,TK003,2900,30,138
TK004,Hilda,Tank,TK004,2800,20,172
FR011,Jawhead,Fighter,FR011,2650,20,159
FR012,Badang,Fighter,FR012,2750,24,176
MM002,Clint,Marksman,MM002,2550,15,155
MG004,Cecilion,Mage,ME004,2760,10,139
FR013,Masha,Fighter,FR013,3200,22,180
TK005,Baxia,Tank,TK005,3150,25,145
ME005,Esmeralda,Mage,ME005,2800,25,148
Ass003,Karina,Assasin,Ass03,2625,10,170
Ass004,Selena,Assasin,Ass004,2490,10,168
FR014,Martis,Fighter,FR014,2680,18,170
ME006,Xavier,Mage,ME006,2600,12,140
ME007,Pharsa,Mage,ME007,2580,10,135
MM003,Irithel,Marksman,MM003,2550,18,155
MM004,Karrie,Marksman,MM004,2400,15,160
MM005,Wanwan,Marksman,MM005,2550,17,148
ME008,Harith,Mage,ME008,2550,15,158
ME009,Guinevere,Mage,ME009,2580,15,160
MM006,Beatrix,Marksman,MM006,2600,18,171
MM007,Layla,Marksman,MM007,2580,15,160
MM008,Moskov,Marksman,MM008,2550,18,170
MM009,Granger,Marksman,MM009,2550,16,170
MM010,Claude,Marksman,MM010,2600,15,160
MM011,Bruno,Marksman,MM011,2450,15,164
TK006,Johnson,Tank,TK006,3100,35,131
ME010,Odette,Mage,ME010,2450,10,130
TK007,Khufra,Tank,TK007,2900,30,137
TK008,Franco,Tank,TK008,2900,30,138
TK009,Minotour,Tank,TK009,2950,30,139
TK010,Kaja,Tank,TK010,2600,22,141
Sup002,Rafaela,Support,Sup002,2500,12,124
Sup003,Estes,Support,Sup003,2650,14,126
Sup004,Faramis,Support,Sup004,2400,15,130
Sup005,Floryn,Support,Sup005,2650,12,107
