herosID,heroName,roleID,abilitiesID,hp,def,atk
MM001,Miya,R001,MM001,2550,18,142
FR001,Aldous,R002,FR001,2700,20,108
Sup001,Angela,R005,Sup001,2500,10,108
Ass001,Gusion,R003,Ass001,2580,10,179
FR002,Leomord,R002,FR002,2900,20,160
Ass002,Lancelot,R003,Ass002,2675,15,179
FR003,Minsitthar,R002,FR003,2700,25,170
TK001,Tigreal,R004,TK001,3000,30,135
FR004,Zilong,R002,FR004,2680,18,170
FR005,Chou,R002,FR005,2670,19,157
FR006,Ruby,R002,FR006,2620,20,160
FR007,Sun,R002,FR007,2700,22,158
FR008,Freya,R002,FR008,2750,22,170
ME001,Kagura,R006,ME001,2550,15,134
ME002,Lylia,R006,ME002,2500,10,120
ME003,Nana,R006,ME003,2600,10,120
FR009,X.Borg,R002,FR009,2800,25,168
TK002,Grock,R004,TK002,3150,35,155
FR010,Bane,R002,FR010,2750,20,160
TK003,Atlas,R004,TK003,2900,30,138
TK004,Hilda,R004,TK004,2800,20,172
FR011,Jawhead,R002,FR011,2650,20,159
FR012,Badang,R002,FR012,2750,24,176
MM002,Clint,R001,MM002,2550,15,155
MG004,Cecilion,R006,ME004,2760,10,139
FR013,Masha,R002,FR013,3200,22,180
TK005,Baxia,R004,TK005,3150,25,145
ME005,Esmeralda,R006,ME005,2800,25,148
Ass003,Karina,R003,Ass03,2625,10,170
Ass004,Selena,R003,Ass004,2490,10,168
FR014,Martis,R002,FR014,2680,18,170
ME006,Xavier,R006,ME006,2600,12,140
ME007,Pharsa,R006,ME007,2580,10,135
MM003,Irithel,R001,MM003,2550,18,155
MM004,Karrie,R001,MM004,2400,15,160
MM005,Wanwan,R001,MM005,2550,17,148
ME008,Harith,R006,ME008,2550,15,158
ME009,Guinevere,R006,ME009,2580,15,160
MM006,Beatrix,R001,MM006,2600,18,171
MM007,Layla,R001,MM007,2580,15,160
MM008,Moskov,R001,MM008,2550,18,170
MM009,Granger,R001,MM009,2550,16,170
MM010,Claude,R001,MM010,2600,15,160
MM011,Bruno,R001,MM011,2450,15,164
TK006,Johnson,R004,TK006,3100,35,131
ME010,Odette,R006,ME010,2450,10,130
TK007,Khufra,R004,TK007,2900,30,137
TK008,Franco,R004,TK008,2900,30,138
TK009,Minotour,R004,TK009,2950,30,139
TK010,Kaja,R004,TK010,2600,22,141
Sup002,Rafaela,R005,Sup002,2500,12,124
Sup003,Estes,R005,Sup003,2650,14,126
Sup004,Faramis,R005,Sup004,2400,15,130
Sup005,Floryn,R005,Sup005,2650,12,107
